record - leader,001,008,008 1,008 2,008 3,008 4,008 5,008 6,008 7,008 8,035,040,245,260,310,310 1,310 2,310 2 1,310 2 2,310 3,310 3 1,310 3 2,310 4,310 4 1,310 4 2,310 5,310 6,336,336 1,336 2,336 2 1,336 2 2,336 2 3,336 2 4,336 2 5,337,337 1,337 2,337 2 1,337 2 2,338,338 1,338 2 1,338 2 2,653,653 1,653 2,653 2 3,653 2 4,653 2 5,653 2 6,653 2 7,653 2 1,653 2 2,653 3,264,996,996 1,996 2,996 2 1,996 2 2,996 3,996 3 1,996 3 2,996 4,996 4 1,996 4 2,996 5,996 5 1,996 5 2,996 6,996 7,996 8,998,998 1,998 2,998 3,998 4,998 5,998 6,998 7,650,710,710 1,710 2,710 3,710 3 1,710 3 2,710 3 3,710 3 4,710 3 5,710 3 6,710 3 7,710 3 8,710 4,710 4 1,710 4 2,710 5,710 6,710 7,710 8,710 9,710 10,710 11,710 12,710 13,710 14,710 15,710 16,710 17,710 18,710 19,710 20,710 21,710 22,246,500,500 1,500 2,500 2 1,500 2 2,500 3,500 4,500 5,500 6,500 7,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00493nas  2200169u  4500,9.91868795010148E15,991223q19851989xxuur|p||     0|||a|eng c,991223q19851989xxuur,p,,0,,,a,English,^$ $ $a(BeLVLBS)001868795LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918687950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe gildestem.,^$ $ $aS.l.$ $ $bACW. Verbond Brugge$ $ $c[1982]-[1983],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00622nas  2200205u  4500,9.91874889010148E15,971010q19821990be zr|p||     0|||a|dut c,971010q19821990be zr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001874889LBS01-Aleph^$ $ $a7186013^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918748890101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOnze lieve vrouw van Kortenbos.,,^$ $ $aOther,^,aOther,,Other,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1982-[1990]^$ $1$aSint-Truiden$ $ $bOnze lieve vrouw van Kortenbos$ $ $31982-[1990].,^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c202004,,202004.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00723nas  2200217u  4500,9.91875357010148E15,971013d19831987be ur|p||     0|||a|dut c,971013d19831987be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001875357LBS01-Aleph^$ $ $a7188117^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918753570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuws stichting Chili.,,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,^$ $1$c[1983]-[1987]^$ $1$aTongerlo$ $ $bNorbertijnen Tongerlo,$ $ $c3 [1983]-[1987],,c3 [1983]-[1987],,3 [1983]-[1987],,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^,KADOC,physical,201808.0,A,local,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^,2KADOC,aC5,,C5,,,,,,,xMaatschappelijke organisaties en maatschappelijk leven,,Maatschappelijke organisaties en maatschappelijk leven,6(ODIS-HT),,,,,,,,,,,,,,,,,,^$2$ $aNorbertijnen Abdij Tongerlo$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00838nas  2200241u  4500,9.91875426010148E15,971013d19832010be ur|p||     0|||a|dut c,971013d19832010be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001875426LBS01-Aleph^$ $ $a7188526^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918754260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aToets$ $ $binformatieblad van de syndicale werking LBC-NVK,ATP-KULeuven.,,,,,,,,,,,,,,^$ $ $aUnknown,,aUnknown,unknown,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,atext,2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^,avolume,,volume,,,,,volume,2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-[2010]^$ $1$aLeuven$ $ $bToets$ $ $c1983-[2010],^,c1983-[2010]^,,1983-[2010]^,aLeuven,aLeuven,,bToets,bToets,,c1983-[2010],c1983-[2010],,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c202012$ $ $9local,^,KADOC,physical,202012.0,local,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^,2KADOC,aC5,,C5,,,,,,,xMaatschappelijke organisaties en maatschappelijk leven,,Maatschappelijke organisaties en maatschappelijk leven,6(ODIS-HT)^,2KADOC,aarbeidersbeweging,6(ODIS-TW)2656,,,,,,,,,,,,,,,,^$1$3$aToets$ $ $bhet LBC-NVK vakbondsblad voor de KULeuven,^,aToets,,Toets,bhet LBC-NVK vakbondsblad voor de KULeuven,,,,,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00671nas  2200229u  4500,9.91876111010148E15,971014q19841986be mr|p||     0|||a|dut c,971014q19841986be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001876111LBS01-Aleph^$ $ $a7192058^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918761110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aPausbezoek.,^$ $ $c[1984]-[1986],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aPaus Johannes Paulus II in Belgie in 1985^$ $ $aPauskrant,^,aPaus Johannes Paulus II in Belgie in 1985^,,Paus Johannes Paulus II in Belgie in 1985^,aPauskrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00642nas  2200205u  4500,9.91877574010148E15,971020q19821988ne ur|p||     0|||a|dut c,971020q19821988ne ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001877574LBS01-Aleph^$ $ $a7198581^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918775740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aParels : parels van Rooms katholieke journalistiek uit heden en verleden.,,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1982-[1988]^$ $1$aAmsterdam$ $ $bR.K. initiatief comité,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9.91877968010148E15,971021q19831986be qr|p||     0|||a|dut c,971021q19831986be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001877968LBS01-Aleph^$ $ $a7200436^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918779680101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSintal nieuws.,^$ $ $aLeuven$ $ $bSintal$ $ $c1983-[1986],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$1$8$w(BeLVLBS)001877913LBS01-Aleph$ $ $tPen en pers$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200181u  4500,9.91880331010148E15,971028q19831989be qr|p||     0|||a|dut c,971028q19831989be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001880331LBS01-Aleph^$ $ $a7210718^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803310101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSprankel : berichtenblad van Hoogveld.,^$ $ $aVeldegem$ $ $bSprankel$ $ $c1983-[1989],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00770nas  2200229u  4500,9.91880399010148E15,971029q19832012be qr|p||     0|||a|fre c,971029q19832012be qr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001880399LBS01-Aleph^$ $ $a7211143^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"^$0$0$aSolidarité Bolivië ""El Molino - Yocalla""",,^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c[1983]-[2012]^$ $1$aS.l.$ $ $bJeunes solidaires Bolivië$ $ $3[1983]-[2012].,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c202006,,202006.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aJeunes solidaires Bolivië$ $ $4oth,^,aJeunes solidaires Bolivië,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00600nas  2200193u  4500,9.91880651010148E15,971029d19859999be ur|p||     0|||a|dut c,971029d19859999be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001880651LBS01-Aleph^$ $ $a7212254^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918806510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSpoed-info$ $ $bfederatie besturen.,^$ $ $aBrussel$ $ $bNCOV$ $ $c[1985]-?,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aNationale confederatie van ouderverenigingen.$ $ $4oth,^,aNationale confederatie van ouderverenigingen.,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
